Subject	Content	SA							
1	gas by my house hit $3.39!!!! i'm going to chapel hill on sat. :)	1							
1	"theo walcott is still shit, watch rafa and johnny deal with him on saturday."	-1							
1	"its not that i'm a gsp fan, i just hate nick diaz. can't wait for february."	-1							
1	iranian general says israel's iron dome can't deal with their missiles (keep talking like that and we may end up finding out)	-1							
1	"tehran, mon amour: obama tried to establish ties with the mullahs  via  no barack obama - vote mitt romney"	0							
1	i sat through this whole movie just for harry and ron at christmas. ohlawd	0							
1	with j davlar 11th. main rivals are team poland. hopefully we an make it a successful end to a tough week of training tomorrow.	1							
1	"talking about act's && sat's, deciding where i want to go to college, applying to colleges and everything about college stresses me out."	-1							
1	why is \happy valentines day\ trending? it's on the 14th of february not 12th of june smh..	0							
1	"they may have a superbowl in dallas, but dallas ain't winning a superbowl. not with that quarterback and owner."	-1							
1	"im bringing the monster load of candy tomorrow, i just hope it doesn't get all squiched"	0							
1	"apple software, retail chiefs out in overhaul: san francisco apple inc ceo tim cook on monday replaced the heads..."	0							
1	i just watched it! sridevi's comeback.... u remember her from the 90s?? sun mornings on nta ;)	1							
1	one of my best 8th graders kory was excited after his touchdown today!! he did the victor cruz!!lol	1							
1	#livewire nadal confirmed for mexican open in february: rafael nadal is set to play at the me...  #livewireathletics	0							
1	i didnt want to just pop up... but yep we have chapel hill next wednesday you should come.. and shes great ill tell her you asked	1							
1	hmmmm  november is an odd release date if true but if it becomes big enough maybe she could sing it at grammys	0							
1	"#iran us delisting mko from global terrorists list in line with iran campaign: tehran, oct 30, irna -- secretary..."	0							
1	serge is amazing... like hes actually a god the lanky sex god... i saw kasabian and noel together in august. it was amazing.	1							
1	larry bird is ranked 4th all-time not including lebron or kobe just sayin...	0							
1	good morning becky ! thursday is going to be fantastic !	1							
1	"expect light-moderate rains over e. visayas; cebu, bohol, samar & leyte have 30-70% chance of rains tonight! expect fair weather tomorrow!:)"	0							
1	one ticket left for the  game tomorrow!  don't miss the rematch of the nfc championship game against the ny giants!  hit me up!	1							
1	"afc away fans on saturday. all this stuff about the 'she said no' chant. it's bollocks. when he has the ball, just turn your back on him."	-1							
1	my saturday night has consisted of me watching the grey with my puppy while my parents throw a rager #whaa #liamneesonisbosstho	-1							
1	why is it so hard to find the  these days? went to 3 stores for the castle cover issue. none. will search again tomorrow...	-1							
1	game 1 of the nlcs and a rematch of the nfc championship game tomorrow. sf's gonna be cuuuuhraaaaaaaazeeeee	0							
1	james hall live in indianapolis dec.8th.. christ church apostolic!' tixs just $10/adv. $15 be there..	0							
1	the heat game may cost alot more...and plus i would rather see austin rivers play	0							
1	"never start working on your dreams and goals tomorrow......tomorrow never comes....if it means anything to u, act now! #getafterit"	1							
1	"i had vick and flacco, needed an upgrade.  vick may get benched, jennings a back up again soon. i thought it was a win for me."	1							
1	"key largo, fl!!! yay just ur neighbor lisa a sip n a hop away :) always watching #rhom thur's!!"	1							
1	looks like andy the android may have had a little too much fun yesterday.	1							
1	oooh nice .. tis tempting to go up the lakes with my nikon ...  hmmmm i may do that ..	1							
1	"black friday huge saving aerial view of a city, paris las vegas, the las vegas strip, las vegas,..."	0							
1	yes we all know indio vs cv is tomorrow the bell game. its enough.!!	1							
1	"jenelle lies,1st she said she was alone &the hosp.now she's saying how weird it was for keiffer's"	-1							
1	"lmfao his big ass get on my nerves, you going to class tomorrow?"	-1							
1	i'm going to hong kong during that time and mama is on nov 30. i want to see them live	1							
1	happy 20th mr. president! nick j forever off the chain.	1							
1	dream high 2 sucks compared to the 1st one.	-1							
1	"mohamed morsi, egypt's muslim brotherhood president, instructed the supreme council of the armed forces thursday..."	0							
1	c'mon avila! you just got tagged out by a guy who looks like the kid bill murray was researching in the royal tenenbaums! #tigers	0							
1	"you think the boro will beat swansea? i'm not so sure, december/january is when we implode"	-1							
1	"at the first grammy awards, held on 4 may 1959, domenico modugno beat out frank sinatra and peggy lee for the record of the year,with volare"	0							
1	happy birthday vow  (the 3rd anniversary)	1							
1	i have studied all day but tomorrow i'm going out with friends! :d omg jennette did?!!!! i'm gonna look! <3	1							
1	"good morning thursday. \life is fragile. we're not guaranteed a tomorrow so give it everything you've got.\ - tim cook [do it for jobs!"""	1							
1	#twitition mcfly come back to argentina but this time we want to come to mar del plata!!!	1							
1	anything. i wondered how the aspects btwn my sun/moon faired with my rising. i also have venus in sag...yea lol thank u :)	1							
1	my teachers call themselves givng us candy....wasn't even the good stuff. i might go to walmart or cvs tomorrow/	-1							
1	"#broncos peyton manning named afc offensive player of the month. it's his 5th such honor, second to tom brady's 6, tied w/ td."	0							
1	is bringing out kendrick lamar the 6th of december!?! get your tickets now!	0							
1	i may have an android phone by the time i get back to school! :)	1							
1	"andre's wigan warning - #coys official site wigan might currently occupy 15th place in the premier league,..."	0							
1	tryst tonight! best industry/local/thursday party in las vegas!	1							
1	what if it rained? we didn't care.. she said that someday soon the sun was gonna shine.. and she was right.. this love of mine my valentine	1							
1	"royal rumble tomorrow night, my house. assemble the crew were gettin real this time haahaha"	1							
1	"strange enough, i'm going to see noel gallagher in concert tomorrow  night. #alldayb1tch"	0							
1	"when my professor passes out candy and says \a very small amount of that may be from valentines day, just so you know\"	0							
1	how are they going to act in new york with the subways out? they better clutch it out like eli manning 4th quarter	0							
1	"homegrown talent missing on signing day: throughout most of the day on wednesday, the video scoreboard ...  #raleigh"	-1							
1	taylor swift is coming with ed sheeran june 29th? most perf news i've heard all night.	1							
1	the great noel gallagher is about to hit the stage in st. paul. plenty of room here so we're 4th row center. plenty of room. pretty fired up	1							
1	"i'd love to go for a pint with jim white off ssn, think he may have a bit about him"	1							
1	"there are going to be plenty of ups & downs for boro,cardiff,leicester etc until may.i hope we are still in with a shout for promo"	0							
1	"that sucks, amazon might have some left .. hate that i won't have it until 11am on tuesday though"	-1							
1	happy sunday last off sadat before back to work enjoy it tweeps now to do yard work for a couple hours then some fun	1							
1	"playing as the browns hc k. fri in #madden13, xfacalac lost to the ravens 21-28 on all-madden #connectedcareers"	0							
1	#cfc  is the best of the premier league! his overall ea sports player performance index score: 217. (1st place) #matamagic	1							
1	nooooooooo rosanne! they've just restocked them and me going overseas sunday means i can't afford them :'(	-1							
1	the pain is far deeper than a billy cundiff missed field goal. gotta wake up and forget about it tomorrow. #orioles #stayhungry	0							
1	on november 16 be ready to head to the movies. breaking dawn: part 2. (;	1							
1	"after seeing  tweet about watching the vow, i think i may need to watch it."	0							
1	"tomorrow shall consist of watching will ferrell films with my fave people and chinese food, sweet."	1							
1	"yeah.. you know just sitting around by myself listening to avril lavigne, typical friday night."	0							
1	"d, you're the closest source btwn fans & team. btw heard cards may sign billy cundiff. any truth?! #snarklife"	0							
1	"and the same station that will air new episodes of cougar town in january!  has been good to us, jordan. #pennycan"	1							
1	alex poythress had 11 points and 7 rebounds in his debut with kentucky during an exhibition game on thursday. he played 28 minutes.	0							
1	i think i may have a heart attack for jason wu's new collection. so charlotte rampling in the night	1							
1	if i can get my equipment working correctly we will have a live show on friday at 6 pm cst with contactee ray...	0							
1	amazing concert tonight with jim white and the tcu jazz ensemble/faculty jazz combo!  don't miss tomorrow night...	1							
1	"#nationals 9th inning had that \4th quarter #redskins\ feel, didn't it?  coulda swore i saw cundiff shank one from the mound."	0							
1	why would you still wear shorts when it's this cold?!  i love how britain see's a bit of sun and they're like 'oooh let's strip!'	1							
1	. you mentioned on monday that you would be releasing colorado and nevada numbers on wednesday; were those polls abandoned?	0							
1	capello says time for russia to win big match: russia manager fabio capello on thursday said that he intended to...	1							
1	jackals goal! jimmy martin sneaks a rebound past killeen to give elmira a 2-1 lead. bushee & bellamy with the assists.1:09 left 2nd period	0							
1	kick-off your weekend with service! ev!'s get on the bus trip to the boys & girls club is friday from 3-6! hope to see you there :)	1							
1	"lmfao alright u got me there. good job parker and the spurs, see y'all jan 9th. if i get an extra ticket to that game ur goin"	1							
1	desperation day (february 13th)  the most well known day in all mens life.	-1							
